listing_id,date
75065,2015-07-05
75065,2017-10-09
75065,2018-06-19
75065,2018-07-20
75065,2018-08-12
75065,2018-08-18
75065,2018-08-21
75065,2019-07-18
75065,2019-07-21
75065,2019-07-28
75065,2019-08-21
75065,2019-08-31
75065,2019-10-06
75065,2019-10-13
75065,2019-10-20
75065,2020-07-28
75065,2020-08-20
75065,2020-08-23
75065,2021-07-10
75065,2021-07-14
75065,2021-07-18
75065,2021-08-01
75065,2021-08-12
75065,2021-08-23
75065,2021-09-10
75065,2021-09-12
75065,2021-09-19
75065,2021-09-26
75065,2021-10-11
75065,2021-10-24
75065,2021-10-31
75065,2022-03-04
75065,2022-06-10
75065,2022-06-30
75065,2022-07-04
75065,2022-07-07
75065,2022-07-12
75065,2022-08-08
75065,2022-08-30
75065,2022-09-17
75065,2023-07-03
75065,2023-08-05
75065,2023-08-12
75065,2023-08-28
75065,2024-08-03
75065,2024-08-07
75065,2024-08-14
75065,2024-08-24
75065,2024-09-17
75065,2024-09-28
145013,2014-08-25
145013,2015-08-15
145013,2015-08-23
145013,2016-08-07
145013,2017-06-25
145013,2017-07-29
145013,2020-08-09
145013,2020-08-23
261800,2016-05-18
261800,2016-06-09
261800,2016-06-18
261800,2016-08-01
261800,2016-08-05
261800,2016-08-16
261800,2017-10-21
261800,2017-12-14
261800,2018-05-18
261800,2018-05-25
261800,2018-06-28
261800,2018-08-31
261800,2018-09-07
261800,2018-09-12
261800,2018-09-15
261800,2018-09-18
261800,2018-09-21
261800,2018-09-24
261800,2018-09-26
261800,2018-09-30
261800,2019-01-21
261800,2019-02-07
261800,2019-03-24
261800,2019-05-31
261800,2019-06-26
261800,2019-07-01
261800,2019-07-04
261800,2019-07-13
261800,2019-07-17
261800,2019-07-21
261800,2019-07-24
261800,2019-07-27
261800,2019-08-12
261800,2019-08-15
261800,2019-09-11
261800,2019-09-13
261800,2019-09-22
261800,2019-09-27
261800,2019-11-15
261800,2019-11-27
261800,2020-08-29
261800,2020-09-14
261800,2020-09-25
261800,2020-10-03
261800,2021-10-01
261800,2021-10-06
261800,2021-10-18
261800,2021-11-03
261800,2022-01-03
261800,2022-06-24
261800,2022-06-30
261800,2022-07-03
261800,2022-07-07
261800,2022-07-10
261800,2022-07-22
261800,2022-07-24
261800,2022-08-01
261800,2022-08-20
261800,2022-08-25
261800,2023-07-30
261800,2023-09-29
261800,2024-08-05
261800,2024-08-29
261800,2024-09-20
261800,2024-10-22
872640,2013-08-29
872640,2015-09-01
872640,2019-08-18
1199731,2013-11-29
1199731,2013-12-14
1199731,2014-01-05
1199731,2014-02-20
1199731,2014-02-27
1199731,2014-03-09
1199731,2014-03-25
1199731,2014-04-02
1199731,2014-05-04
1199731,2014-05-17
1199731,2014-05-21
1199731,2014-05-25
1199731,2014-06-05
1199731,2014-06-10
1199731,2014-06-11
1199731,2014-06-19
1199731,2014-06-21
